company,status,current_matches,new_matches,detail
Pfizer,WORKING,0,0,
"Phillips Infrastructure Corp., Knoxville, Tenn.†",FAILED,0,0,no supported ATS or structured JobPosting data discovered
"Pogue Construction, McKinney, Texas",FAILED,0,0,no supported ATS or structured JobPosting data discovered
"Power Construction Co. LLC, Chicago, Ill.",FAILED,0,0,no supported ATS or structured JobPosting data discovered
Procter & Gamble,FAILED,0,0,no supported ATS or structured JobPosting data discovered
Prologis,WORKING,0,0,
QTS Data Centers,WORKING,0,0,
Qualcomm,FAILED,0,0,Workday 422 at https://qualcomm.wd5.myworkdayjobs.com/wday/cxs/qualcomm/External/jobs
RTX,FAILED,0,0,public careers page blocked (403); direct source adapter needed
Regeneron,WORKING,1,0,
Related Companies,FAILED,0,0,"HTTPSConnectionPool(host='careers.related.com', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPSConnection(host='careers.related.com', port=443): Failed to resolve 'careers.related.com' ("
Relativity Space,FAILED,0,0,404 Client Error: Not Found for url: https://api.lever.co/v0/postings/relativity?mode=json
Rivian,FAILED,0,0,no supported ATS or structured JobPosting data discovered
"Robins & Morton, Birmingham, Ala.",FAILED,0,0,no supported ATS or structured JobPosting data discovered
Rocket Lab,FAILED,0,0,no supported ATS or structured JobPosting data discovered
Rockwell Automation,WORKING,0,0,
"Rogers-O’Brien Construction, Dallas, Texas",FAILED,0,0,no supported ATS or structured JobPosting data discovered
"Ryan Cos. US Inc., Minneapolis, Minn.",WORKING,0,0,
"SOLV Energy, San Diego, Calif.",WORKING,1,0,
STACK Infrastructure,WORKING,0,0,
"STO Building Group, New York, N.Y.†",FAILED,0,0,no supported ATS or structured JobPosting data discovered
Salesforce,WORKING,0,0,
Samsung Electronics,WORKING,6,0,
Sanofi,WORKING,0,0,
Scale AI,WORKING,2,0,
Schneider Electric,FAILED,0,0,public careers page blocked (403); direct source adapter needed
Seagate Technology,FAILED,0,0,no supported ATS or structured JobPosting data discovered
ServiceNow,FAILED,0,0,Workday 422 at https://servicenow.wd5.myworkdayjobs.com/wday/cxs/servicenow/External/jobs
"Shawmut Design and Construction, Boston, Mass.",FAILED,0,0,no supported ATS or structured JobPosting data discovered
Siemens,FAILED,0,0,no supported ATS or structured JobPosting data discovered
Sierra Space,WORKING,0,0,
"Skanska USA, New York, N.Y.†",WORKING,11,0,
SpaceX,WORKING,18,0,
Starbucks,FAILED,0,0,Workday 422 at https://starbucks.wd5.myworkdayjobs.com/wday/cxs/starbucks/starbucks/jobs
Stellantis,FAILED,0,0,no supported ATS or structured JobPosting data discovered
"Suffolk Construction Co. Inc., Boston, Mass.†",WORKING,0,0,
"Sundt Construction Inc., Tempe, Ariz.",WORKING,32,0,
"Swinerton Inc., Concord, Calif.",WORKING,3,0,
Switch,FAILED,0,0,no supported ATS or structured JobPosting data discovered
"T5 Construction, Atlanta, Ga.",WORKING,4,0,
TSMC,WORKING,0,0,
Target,WORKING,0,0,
Tesla,FAILED,0,0,public careers page blocked (403); direct source adapter needed
Texas Instruments,WORKING,0,0,
"The Boldt Group, Appleton, Wis.",FAILED,0,0,no supported ATS or structured JobPosting data discovered
"The Christman Co., Lansing, Mich.",WORKING,3,0,
"The Conlan Company, Marietta, Ga.",FAILED,0,0,404 Client Error: Not Found for url: https://conlancompany.com/careers/
"The PENTA Building Group, Henderson, Nev.†",FAILED,0,0,no supported ATS or structured JobPosting data discovered
"The Walsh Group, Chicago, Ill.",BROWSER_ONLY,0,0,verified source requires browser/session or blocks GitHub Actions HTTP
"The Weitz Co., Des Moines, Iowa†",WORKING,1,0,
"The Whiting-Turner Contracting Co., Baltimore, Md.",WORKING,0,0,
"The Yates Cos. Inc., Philadelphia, Miss.",FAILED,0,0,no supported ATS or structured JobPosting data discovered
Thermo Fisher Scientific,FAILED,0,0,no supported ATS or structured JobPosting data discovered
Tokyo Electron,FAILED,0,0,Workday 404 at https://tel.wd3.myworkdayjobs.com/wday/cxs/tel/zh-TW/jobs
Toyota,FAILED,0,0,no supported ATS or structured JobPosting data discovered
"Turner Construction Co., New York City, N.Y.†",FAILED,0,0,401 Client Error: Unauthorized for url: https://us.api.csod.com/rec-job-search/external/jobs
"Turner Industries Group LLC, Baton Rouge, La.†",FAILED,0,0,no supported ATS or structured JobPosting data discovered
"Tutor Perini Corp., Sylmar, Calif.†",FAILED,0,0,"HTTPSConnectionPool(host='careers.tutorperini.com', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<HTTPSConnection(host='careers.tutorperini.com', port=443) at 0x7fb1da98e990>, 'Connection to"
UPS,FAILED,0,0,no supported ATS or structured JobPosting data discovered
Uber,FAILED,0,0,public careers page blocked (406); direct source adapter needed
Unilever,WORKING,0,0,
Vantage Data Centers,WORKING,0,0,
Vestas,FAILED,0,0,no supported ATS or structured JobPosting data discovered
Volkswagen Group,FAILED,0,0,404 Client Error: Not Found for url: https://www.volkswagen-group.com/en/careers-16015
"W.E. O’Neil Construction Co., Chicago, Ill.†",FAILED,0,0,no supported ATS or structured JobPosting data discovered
"Walbridge, Detroit, Mich.",WORKING,1,0,
Walmart,FAILED,0,0,Workday 422 at https://walmart.wd5.myworkdayjobs.com/wday/cxs/walmart/WalmartExternal/jobs
Wells Fargo,WORKING,0,0,
Western Digital,WORKING,0,0,
"Wharton-Smith Inc., Sanford, Fla.",FAILED,0,0,no supported ATS or structured JobPosting data discovered
xAI,WORKING,1,0,
Ørsted,FAILED,0,0,no supported ATS or structured JobPosting data discovered
